Chapter,Verse,Shloka,EngMeaning,Yoga_Type
1,18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ||१-१८||","1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.",Bhakti Yoga
1,19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ||१-१९||","1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.",Bhakti Yoga
1,20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||१-२०||","1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.",Bhakti Yoga
1,21,"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ||१-२१||","1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",Bhakti Yoga
1,22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ||१-२२||","1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",Bhakti Yoga
1,23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः |
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ||१-२३||","1.23. For I desire to observe those who are assembled here to fight,
wishing to please in battle the evil-minded Duryodhana (the son of Dhritarashtra).",Bhakti Yoga
1,24,"सञ्जय उवाच |
एवमुक्तो हृषीकेशो गुडाकेशेन भारत |
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ||१-२४||","1.24. Sanjaya said  Thus addressed by Arjuna, Krishna, having stationed that
best of chariots, O Dhritarashtra, in the midst of the two armies.",Bhakti Yoga
1,25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ||१-२५||","1.25. In front of Bhishma and Drona, and all the rulers of the
earth, said: ""O Arjuna (son of Pritha), behold these Kurus gathered together.""",Bhakti Yoga
1,26,"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा ||१-२६||","1.26. Then, Arjuna (son of Pritha) saw there (in the armies) stationed,
fathers and grandfathers, teachers, maternal uncles, brothers, sons, grandsons
and friends too.",Bhakti Yoga
1,27,"श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |
तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ||१-२७||","1.27. (He saw) fathers-in-law and friends also in both the armies.
The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed,
spoke this, sorrowfully filled with deep pity.",Bhakti Yoga
1,28,"कृपया परयाविष्टो विषीदन्निदमब्रवीत् |
अर्जुन उवाच |
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ||१-२८||","1.28. Arjuna said  Seeing these, my kinsmen, O krishna, arrayed, eager to fight.",Bhakti Yoga
1,29,"सीदन्ति मम गात्राणि मुखं च परिशुष्यति |
वेपथुश्च शरीरे मे रोमहर्षश्च जायते ||१-२९||","1.29. My limbs fail and my mouth is parched, my body ivers and
my hair stands on end.",Jnana Yoga
1,30,"गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ||१-३०||","1.30. The (bow) Gandiva slips from my hand, and also my skins burns
all over; I am unable even to stand and my mind is reeling, as it were.",Bhakti Yoga
1,31,"निमित्तानि च पश्यामि विपरीतानि केशव |
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ||१-३१||","1.31. And I see adverse omens, O Kesava. I do not see any good
in killing my kinsmen in battle.",Bhakti Yoga
1,32,"न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ||१-३२||","1.32. I desire not victory, O Krishna, nor kingdom, nor pleasures.
Of what avail is dominion to us, O Krishna, or pleasures or even life?",Bhakti Yoga
1,33,"येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |
त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ||१-३३||","1.33. Those for whose sake we desire kingdom, enjoyments and pleasures,
stand here in battle, having renounced life and wealth.",Bhakti Yoga
1,34,"आचार्याः पितरः पुत्रास्तथैव च पितामहाः |
मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ||१-३४||","1.34. Teachers, fathers, sons and also grandfathers, maternal uncles,
fathers-in-law, grandsons, brothers-in-law and other relatives,-",Karma Yoga
1,35,"एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |
अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ||१-३५||","1.35. These I do not wish to kill, though they kill me, O Krishna,
even for the sake of dominion over the three worlds; leave alone killing
them for the sake of the earth.",Bhakti Yoga
1,36,"निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |
पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ||१-३६||","1.36. By killing these sons of Dhritarashtra, what pleasure can
be ours, O Janardana? Only sin will accrue to us from killing these felons.",Bhakti Yoga
1,37,"तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |
स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ||१-३७||","1.37. Therefore, we should not kill the sons of Dhritarashtra,
our relatives; for how can we be happy by killing our own people, O Madhava
(Krishna)?",Bhakti Yoga
1,38,"यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ||१-३८||","1.38. Though they, with intelligence overpowered by greed, see
no evil in the destruction of families, and no sin in hostility to friends,",Bhakti Yoga
1,39,"कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् |
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ||१-३९||","1.39. Why should not we who clearly see evil in the destruction
of families, learn to turn away from this sin, O Janardana (Krishna)?",Bhakti Yoga
1,40,"कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः |
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ||१-४०||","1.40. In the destruction of a family, the immemorial religious
rites of that family perish; on the destruction of spirituality, impiety,
indeed, overcomes the whole family.",Bhakti Yoga
1,41,"अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ||१-४१||","1.41. By the prevalence of impiety, O Krishna, the women of
the family become corrupt; and , women being corrupted, O Varshenya (descendant
of Vrishni), there arises intermingling of castes.",Bhakti Yoga
1,42,"सङ्करो नरकायैव कुलघ्नानां कुलस्य च |
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ||१-४२||","1.42. Confusion of castes leads to hell the slayers of the family,
for their forefathers fall, deprived of the offerings of rice-ball and
water (libations).",Bhakti Yoga
1,43,"दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः |
उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ||१-४३||","1.43. By these evil deeds of the destroyers of the family, which
cause confusion of castes, the eternal religious rites of the caste and
the family are destroyed.",Bhakti Yoga
1,44,"उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |
नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) ||१-४४||","1.44. We have heard, O Janardana, that inevitable is the dwelling
for an unknown period in hell for those men in whose families the religious
practices have been destroyed.",Bhakti Yoga
1,45,"अहो बत महत्पापं कर्तुं व्यवसिता वयम् |
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ||१-४५||","1.45. Alas! We are involved in a great sin, in that we are
prepared to kill our kinsmen, through greed for the pleasures of a kingdom.",Bhakti Yoga
1,46,"यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ||१-४६||","1.46. If the sons of Dhritarashtra with weapons in hand should
slay me in battle, unresisting and unarmed, that would be better for me.",Bhakti Yoga
1,47,"सञ्जय उवाच |
एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |
विसृज्य सशरं चापं शोकसंविग्नमानसः ||१-४७||","1.47. Sanjaya said  Having thus spoken in the midst of the battlefield, Arjuna,
casting away his bow and arrow, sat down on the seat of the chariot with
his mind overwhelmed with sorrow.",Bhakti Yoga
2,1,"सञ्जय उवाच |
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |
विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ||२-१||","2.1 Sanjaya said  To him who was thus overcome with pity and who was despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.",Bhakti Yoga
2,2,"श्रीभगवानुवाच |
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् |
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ||२-२||","2.2 The Blessed Lord said  Whence is this perilous strait come upon thee, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?",Bhakti Yoga
2,3,"क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |
क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ||२-३||","2.3 Yield not to impotence, O Arjuna, son of Pritha. It does not befit thee. Cast off this mean weakness of the heart! Stand up, O scorcher of the foes!",Bhakti Yoga
2,4,"अर्जुन उवाच |
कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन |
इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ||२-४||","2.4 Arjuna said  How, O Madhusudana, shall I fight in battle with arrows against Bhishma and Drona, who are fit to be worshipped, O destroyer of enemies?",Bhakti Yoga
2,5,"गुरूनहत्वा हि महानुभावान्
श्रेयो भोक्तुं भैक्ष्यमपीह लोके |
हत्वार्थकामांस्तु गुरूनिहैव
भुञ्जीय भोगान् रुधिरप्रदिग्धान् ||२-५||","2.5 Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I kill them, even in this world all my enjoyments of wealth and fulfilled desires will be stained with (their) blood.",Bhakti Yoga
2,6,"न चैतद्विद्मः कतरन्नो गरीयो
यद्वा जयेम यदि वा नो जयेयुः |
यानेव हत्वा न जिजीविषामस्-
तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ||२-६||","2.6 I can hardly tell which will be better, that we should  coner them or that they should coner us. Even the sons of Dhritarashtra, after slaying whom we do not wish to live, stand facing us.",Bhakti Yoga
2,7,"कार्पण्यदोषोपहतस्वभावः
पृच्छामि त्वां धर्मसम्मूढचेताः |
यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे
शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ||२-७||",2.7 My heart is overpowered by the taint of pity; my mind is confused as to duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple. Instruct me who has taken refuge in Thee.,Bhakti Yoga
2,8,"न हि प्रपश्यामि ममापनुद्याद्
यच्छोकमुच्छोषणमिन्द्रियाणाम् |
अवाप्य भूमावसपत्नमृद्धं
राज्यं सुराणामपि चाधिपत्यम् ||२-८||","2.8 I do not see that it would remove this sorrow that burns up my senses, even if I should attain prosperous and unrivalled dominion on earth or lordship over the gods.",Bhakti Yoga
2,9,"सञ्जय उवाच |
एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप |
न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह ||२-९||","2.9 Sanjaya said  Having spoken thus to Hrishikesha (the Lord of the senses), Arjuna (the coneror of sleep), the destroyer of foes, said to Krishna, ""I will not fight"" and became silent.",Bhakti Yoga
2,10,"तमुवाच हृषीकेशः प्रहसन्निव भारत |
सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः ||२-१०||","2.10 To him who was despondent in the midst of the two armies, Krishna, as if smiling, O Bharata, spoke these words.",Bhakti Yoga
2,11,"श्रीभगवानुवाच |
अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे |
गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ||२-११||","2.11 The Blessed Lord said  Thou hast grieved for those that should not be grieved for, yet thou speakest words of wisdom. The wise grieve neither for the living nor for the dead.",Bhakti Yoga
2,12,"न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः |
न चैव न भविष्यामः सर्वे वयमतः परम् ||२-१२||","2.12 Nor at any time indeed was I not, nor thou, nor these rulers of men, nor verily shall we ever cease to be hereafter.",Bhakti Yoga
2,13,"देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा |
तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ||२-१३||","2.13 Just as in this body the embodied (soul) passes into childhood, youth and old age, so also does it pass into another body; the firm man does not grieve thereat.",Jnana Yoga
2,14,"मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः |
आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ||२-१४||","2.14 The contacts of the senses with the objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them bravely, O Arjuna.",Bhakti Yoga
2,15,"यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ |
समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ||२-१५||","2.15 That firm man whom, surely, these afflict not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",Bhakti Yoga
2,16,"नासतो विद्यते भावो नाभावो विद्यते सतः |
उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ||२-१६||",2.16 The unreal hath no being; there is non-being of the real; the truth about both has been seen by the knowers of the Truth (or the seers of the Essence).,Jnana Yoga
2,17,"अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् |
विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ||२-१७||","2.17 Know that to be indestructible, by Which all this is pervaded. None can cause the destruction of That, the Imperishable.",Jnana Yoga
2,18,"अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः |
अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ||२-१८||","2.18 These bodies of the embodied Self, Which is eternal, indestructible and immeasurable, are said to have an end. Therefore fight, O Arjuna.",Bhakti Yoga
2,19,"य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् |
उभौ तौ न विजानीतो नायं हन्ति न हन्यते ||२-१९||","2.19 He who takes the Self to be the slayer and he who thinks It is slain, neither of them ï1knowsï1. It slays not, nor is It slain.",Bhakti Yoga
2,20,"न जायते म्रियते वा कदाचिन्
नायं भूत्वा भविता वा न भूयः |
अजो नित्यः शाश्वतोऽयं पुराणो
न हन्यते हन्यमाने शरीरे ||२-२०||","2.20 It is not born, nor does It ever die; after having been, It again ceases not to be; unborn, eternal, changeless and ancient, It is not killed when the body is killed.",Bhakti Yoga
2,21,"वेदाविनाशिनं नित्यं य एनमजमव्ययम् |
कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ||२-२१||","2.21 Whosoever knows It to be indestructible, eternal, unborn and inexhaustible, how can that man slay, O Arjuna, or cause to be slain?",Bhakti Yoga
2,22,"वासांसि जीर्णानि यथा विहाय
नवानि गृह्णाति नरोऽपराणि |
तथा शरीराणि विहाय जीर्णा-
न्यन्यानि संयाति नवानि देही ||२-२२||","2.22 Just as a man casts off worn-out clothes and puts on new ones, so also the embodied Self casts off worn-out bodies and enters others which are new.",Jnana Yoga
2,23,"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः |
न चैनं क्लेदयन्त्यापो न शोषयति मारुतः ||२-२३||","2.23 Weapons cut It not, fire burns It not, water wets It not, wind dries It not.",Karma Yoga
2,24,"अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च |
नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ||२-२४||","2.24 This Self cannot be cut, burnt, wetted, nor dried up. It is eternal, all-pervading, stable, immovable and ancient.",Jnana Yoga
2,25,"अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |
तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ||२-२५||","2.25 This (Self) is said to be unmanifested, unthinkable and unchangeable. Therefore, knowing This to be such, thou shouldst not grieve.",Jnana Yoga
2,26,"अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् |
तथापि त्वं महाबाहो नैवं शोचितुमर्हसि ||२-२६||","2.26 But even if thou thinkest of It as being constantly born and constantly dying, even then, O mighty-armed, thou shouldst not grieve.",Bhakti Yoga
2,27,"जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च |
तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि ||२-२७||","2.27 For certain is death for the born, and certain is birth for the dead; therefore, over the inevitable thou shouldst not grieve.",Bhakti Yoga
2,28,"अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत |
अव्यक्तनिधनान्येव तत्र का परिदेवना ||२-२८||","2.28 Beings are unmanifested in their beginning, manifested in their middle state, O Arjuna, and unmanifested again in their end. What is there to grieve about?",Bhakti Yoga
2,29,"आश्चर्यवत्पश्यति कश्चिदेन-
माश्चर्यवद्वदति तथैव चान्यः |
आश्चर्यवच्चैनमन्यः शृणोति
श्रुत्वाप्येनं वेद न चैव कश्चित् ||२-२९||","2.29 One sees This (the Self) as a wonder; another speaks of It as a wonder; another hears of It as a wonder; yet having heard, none understands It at all.",Jnana Yoga
2,30,"देही नित्यमवध्योऽयं देहे सर्वस्य भारत |
तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ||२-३०||","2.30 This, the Indweller in the body of everyone, is ever indestructible, O Arjuna; therefore, thou shouldst not grieve for any creature.",Bhakti Yoga
2,31,"स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि |
धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ||२-३१||","2.31 Further, having regard to thy duty, shouldst not waver, for there is nothing higher for a Kshatriya than a righteous war.",Bhakti Yoga
2,32,"यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् |
सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ||२-३२||","2.32 Happy are the Kshatriyas, O Arjuna! who are called upon to fight in such a battle that comes of itself as an open door to heaven.",Bhakti Yoga
2,33,"अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि |
ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ||२-३३||","2.33 But if thou wilt not fight this righteous war, then having abandoned thine own duty and fame, thou shalt incur sin.",Bhakti Yoga
2,34,"अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |
सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ||२-३४||","2.34 People, too, will recount thy everlasting dishonour; and to one who has been honoured, dishonour is worse than death.",Bhakti Yoga
2,35,"भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः |
येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ||२-३५||",2.35 The great car-warriors will think that thou hast withdrawn from the battle through fear; and thou wilt be lightly held by them who have thought much of thee.,Bhakti Yoga
2,36,"अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः |
निन्दन्तस्तव सामर्थ्यं ततो दुःखतरं नु किम् ||२-३६||","2.36 Thy enemies also, cavilling at thy power, will speak many abusive words. What is more painful than this?",Bhakti Yoga
2,37,"हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम् |
तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ||२-३७||","2.37 Slain, thou wilt obtain heaven; victorious, thou wilt enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight.",Bhakti Yoga
2,38,"सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ |
ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ||२-३८||","2.38 Having made pleasure and pain, gain and loss, victory and defeat the same, engage thou in battle for the sake of battle; thus thou shalt not incur sin.",Bhakti Yoga
2,39,"एषा तेऽभिहिता साङ्ख्ये बुद्धिर्योगे त्विमां शृणु |
बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ||२-३९||","2.39 This, which has been taught to thee, is wisdon concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, thou shalt cast off the bonds of action.",Bhakti Yoga
2,40,"नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते |
स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ||२-४०||","2.40 In this there is no loss of effort, nor is there any harm (production of contrary results or transgression). Even a little of this knowledge (even a little practice of this Yoga) protects one from great fear.",Karma Yoga
2,41,"व्यवसायात्मिका बुद्धिरेकेह कुरुनन्दन |
बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम् ||२-४१||","2.41 Here, O joy of the Kurus, there is but a single one-pointed determination; many-branched and endless are the thoughts of the irresolute.",Jnana Yoga
2,42,"यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः |
वेदवादरताः पार्थ नान्यदस्तीति वादिनः ||२-४२||","2.42 Flowery speech is uttered by the unwise, taking pleasure in the eulogising words of the Vedas, O Arjuna, saying, ""There is nothing else.""",Bhakti Yoga
2,43,"कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् |
क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ||२-४३||","2.43 Full of desires, having heaven as their goal, (they utter speech which is directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power.",Bhakti Yoga
